	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	7	1	0	48	0	0	-inf	 	1	1
DL	0.00310832	3	1	1	1	8	1	0	48	0	0	-inf	 	1	1
DL	0.00310832	3	1	1	1	9	1	0	48	0	0	-inf	 	1	1
DL	0.00311248	3	1	2	1	7	2	0	48	0	0	-inf	 	1	1
DL	0.00311248	3	1	2	1	8	2	0	48	0	0	-inf	 	1	1
DL	0.00311248	3	1	2	1	9	2	0	48	0	0	-inf	 	1	1
DL	0.00311664	3	1	3	1	7	3	0	48	0	0	-inf	 	1	1
DL	0.00311664	3	1	3	1	8	3	0	48	0	0	-inf	 	1	1
DL	0.00311664	3	1	3	1	9	3	0	48	0	0	-inf	 	1	1
DL	0.103608	103	6	1	1	7	4	0	48	0	0	-inf	 	1	1
DL	0.103608	103	6	1	1	8	4	0	48	0	0	-inf	 	1	1
DL	0.103608	103	6	1	1	9	4	0	48	0	0	-inf	 	1	1
DL	0.103612	103	6	2	1	7	5	0	48	0	0	-inf	 	1	1
DL	0.103612	103	6	2	1	8	5	0	48	0	0	-inf	 	1	1
DL	0.103612	103	6	2	1	9	5	0	48	0	0	-inf	 	1	1
DL	0.103617	103	6	3	1	7	6	0	48	0	0	-inf	 	1	1
DL	0.103617	103	6	3	1	8	6	0	48	0	0	-inf	 	1	1
DL	0.103617	103	6	3	1	9	6	0	48	0	0	-inf	 	1	1
DL	0.208108	208	1	1	1	7	7	0	48	0	0	-inf	 	1	1
DL	0.208108	208	1	1	1	8	7	0	48	0	0	-inf	 	1	1
DL	0.208108	208	1	1	1	9	7	0	48	0	0	-inf	 	1	1
DL	0.208112	208	1	2	1	7	8	0	48	0	0	-inf	 	1	1
DL	0.208112	208	1	2	1	8	8	0	48	0	0	-inf	 	1	1
DL	0.208112	208	1	2	1	9	8	0	48	0	0	-inf	 	1	1
DL	0.208117	208	1	3	1	7	9	0	48	0	0	-inf	 	1	1
DL	0.208117	208	1	3	1	8	9	0	48	0	0	-inf	 	1	1
DL	0.208117	208	1	3	1	9	9	0	48	0	0	-inf	 	1	1
DL	0.308608	308	6	1	1	7	10	0	48	0	0	-inf	 	1	1
DL	0.308608	308	6	1	1	8	10	0	48	0	0	-inf	 	1	1
DL	0.308608	308	6	1	1	9	10	0	48	0	0	-inf	 	1	1
DL	0.308612	308	6	2	1	7	11	0	48	0	0	-inf	 	1	1
DL	0.308612	308	6	2	1	8	11	0	48	0	0	-inf	 	1	1
DL	0.308612	308	6	2	1	9	11	0	48	0	0	-inf	 	1	1
DL	0.308617	308	6	3	1	7	12	0	48	0	0	-inf	 	1	1
DL	0.308617	308	6	3	1	8	12	0	48	0	0	-inf	 	1	1
DL	0.308617	308	6	3	1	9	12	0	48	0	0	-inf	 	1	1
DL	0.413108	413	1	1	1	7	13	0	48	0	0	-inf	 	1	1
DL	0.413108	413	1	1	1	8	13	0	48	0	0	-inf	 	1	1
DL	0.413108	413	1	1	1	9	13	0	48	0	0	-inf	 	1	1
DL	0.413112	413	1	2	1	7	14	0	48	0	0	-inf	 	1	1
DL	0.413112	413	1	2	1	8	14	0	48	0	0	-inf	 	1	1
DL	0.413112	413	1	2	1	9	14	0	48	0	0	-inf	 	1	1
DL	0.413117	413	1	3	1	7	15	0	48	0	0	-inf	 	1	1
DL	0.413117	413	1	3	1	8	15	0	48	0	0	-inf	 	1	1
DL	0.413117	413	1	3	1	9	15	0	48	0	0	-inf	 	1	1
DL	0.513608	513	6	1	1	7	16	0	48	0	0	-inf	 	1	1
DL	0.513608	513	6	1	1	8	16	0	48	0	0	-inf	 	1	1
DL	0.513608	513	6	1	1	9	16	0	48	0	0	-inf	 	1	1
DL	0.513612	513	6	2	1	7	17	0	48	0	0	-inf	 	1	1
DL	0.513612	513	6	2	1	8	17	0	48	0	0	-inf	 	1	1
DL	0.513612	513	6	2	1	9	17	0	48	0	0	-inf	 	1	1
DL	0.513617	513	6	3	1	7	18	0	48	0	0	-inf	 	1	1
DL	0.513617	513	6	3	1	8	18	0	48	0	0	-inf	 	1	1
DL	0.513617	513	6	3	1	9	18	0	48	0	0	-inf	 	1	1
